pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
obj1,Steve Gonyea,Onondaga Nation,america1777,2005,painting,,,1,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj1_00/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj1_00/full/full/0/default.jpg,/img/derivatives/iiif/obj1/manifest.json
obj10,Alan Michelson,online,Indian Time 1,1996,watches,,,10,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj10/full/full/0/default.jpg,/img/derivatives/iiif/obj10/manifest.json
obj100,,,Wyoming Massacre,6/8/06,photo,,,100,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj100/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj100/full/full/0/default.jpg,/img/derivatives/iiif/obj100/manifest.json
obj101,,,Immediate Retaliation,6/8/06,photo,,,101,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj101/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj101/full/full/0/default.jpg,/img/derivatives/iiif/obj101/manifest.json
obj102,,,Hartley's Revenge,6/8/06,photo,,,102,gallery_item,visual-gallery,,,
obj103,,,Once A Crossroads,6/8/06,photo,,,103,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj103/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj103/full/full/0/default.jpg,/img/derivatives/iiif/obj103/manifest.json
obj104,,,The Setting,4/30/06,photo,,,104,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj104/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj104/full/full/0/default.jpg,/img/derivatives/iiif/obj104/manifest.json
obj105,,,Back to the Present,4/30/06,photo,,,105,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj105/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj105/full/full/0/default.jpg,/img/derivatives/iiif/obj105/manifest.json
obj106,,,Across the Threshold,4/30/06,photo,,,106,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj106/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj106/full/full/0/default.jpg,/img/derivatives/iiif/obj106/manifest.json
obj107,,,From the 5th Iroquois Biennial,4/30/06,photo,,,107,gallery_item,visual-gallery,,,
obj108,,,Indians Have Always Paid the Price,4/30/06,photo,,,108,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj108/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj108/full/full/0/default.jpg,/img/derivatives/iiif/obj108/manifest.json
obj109,,,From the 5th Iroquois Biennial,4/30/06,photo,,,109,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj109/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj109/full/full/0/default.jpg,/img/derivatives/iiif/obj109/manifest.json
obj11,Alan Michelson,online,Indian Time 2,1996,watches,,,11,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj11/full/full/0/default.jpg,/img/derivatives/iiif/obj11/manifest.json
